meta/uid,meta/ll/0,meta/ll/1,meta/sids/0,meta/sids/1,meta/sids/2,meta/sids/3,meta/state,meta/elev,meta/name,data/0,meta/sids/4,meta/sids/5,meta/sids/6,meta/sids/7,meta/sids/8
1707,-111.44778,36.92611,03162 1,PGA 3,72371 4,KPGA 5,AZ,4310,PAGE MUNICIPAL AP,90,USW00003162 6,,,,
1716,-111.7311,35.1611,023009 2,USC00023009 6,FLSA3 7,,AZ,7125,FLAGSTAFF 4 SW,68,,,,,
1717,-110.28073,31.53699,027880 2,USC00027880 6,SEVA3 7,,AZ,4606,SIERRA VISTA,76.5,,,,,
1719,-111.1961,32.2541,028795 2,USC00028795 6,SNMA3 7,,AZ,2561,TUCSON 17 NW,86,,,,,
1722,-109.9288,31.4475,020775 2,USC00020775 6,BISA3 7,,AZ,5560,BISBEE 1WNW,75,,,,,
1733,-111.4813,33.4625,020288 2,USC00020288 6,APNA3 7,,AZ,2070,APACHE JUNCTION 5 NE,93,,,,,
1734,-114.3604,34.5031,024761 2,USC00024761 6,LHCA3 7,,AZ,449,LAKE HAVASU CITY,94,,,,,
1737,-111.4017,32.6463,026513 2,USC00026513 6,PICA3 7,,AZ,1981,PICACHO 8 SE,93,,,,,
1739,-110.9977,31.893,023668 2,USC00023668 6,GRVA3 7,,AZ,2900,GREEN VALLEY,88.5,,,,,
1742,-110.2403,31.8805,020683 2,USC00020683 6,SDAA3 7,,AZ,3690,BENSON 6SE,83,,,,,
1746,-114.6217,32.7276,029656 2,USC00029656 6,YQDA3 7,,AZ,160,YUMA QUARTERMASTER DEPOT,97.5,,,,,
29248,-109.06139,35.6575,03029 1,RQE 3,KRQE 5,USW00003029 6,AZ,6739,WINDOW ROCK AIRPORT,72.5,,,,,
29522,-110.84583,31.42083,03196 1,OLS 3,13A 3,KOLS 5,AZ,3932,NOGALES INTL AP,84,K13A 5,USW00003196 6,,,
29532,-109.5394,31.345,022659 2,USC00022659 6,DUGA3 7,,AZ,4040,DOUGLAS,81,,,,,
29533,-109.6061,31.4583,93026 1,022664 2,022659 2,DUG 3,AZ,4105,DOUGLAS (BISBEE) INTL AP,82,72272 4,KDUG 5,USW00093026 6,DUG 7,
29535,-113.933,35.2577,93167 1,23108 1,024640 2,IGM 3,AZ,3420,KINGMAN AIRPORT,87.5,72370 4,KIGM 5,USW00093167 6,USC00024639 6,IGM 7
29590,-111.9216,33.4258,028499 2,029015 2,USC00028499 6,USC00029015 6,AZ,1167,TEMPE ASU,96,TEMA3 7,,,,
29610,-110.0075,34.2639,03101 1,027855 2,SOW 3,E03 3,AZ,6411,SHOW LOW AIRPORT,70,KSOW 5,USC00027855 6,SOW 7,E03 7,
29687,-110.9552,32.1313,23160 1,028820 2,TUS 3,72274 4,AZ,2549,TUCSON INTERNATIONAL AIRPORT,93,KTUS 5,USW00023160 6,TUS 7,,
40692,-110.7317,32.61,026117 2,USC00026117 6,OSPA3 7,,AZ,4595,ORACLE STATE PARK,83,,,,,
